看似	看似	AUX	cop	簡單	簡單	ADJ	1
.	.	PUNCT	punct	轉賣	轉賣	VERB	1
而	而	ADV	mark	獻給	獻給	VERB	1
廖	廖	PROPN	nmod	冰兄	冰兄	PROPN	2
冰兄	冰兄	PROPN	nsubj	獻給	獻給	VERB	1
「	「	PUNCT	punct	畫會	畫會	NOUN	1
人間	人間	NOUN	nmod	畫會	畫會	NOUN	1
畫會	畫會	NOUN	det	名義	名義	NOUN	1
」	」	PUNCT	punct	畫會	畫會	NOUN	1
的	的	PART	case:dec	畫會	畫會	NOUN	1
名義	名義	NOUN	obl	發起	發起	VERB	1
發起	發起	VERB	acl	獻給	獻給	VERB	1
製作	製作	VERB	xcomp	發起	發起	VERB	1
題	題	NOUN	nsubj	起來	起來	VERB	1
為	為	AUX	cop	起來	起來	VERB	1
「	「	PUNCT	punct	起來	起來	VERB	1
人民	人民	NOUN	nsubj	起來	起來	VERB	1
站	站	VERB	acl	起來	起來	VERB	1
起來	起來	VERB	acl:relcl	巨像	巨像	NOUN	1
了	了	X	discourse	起來	起來	VERB	1
」	」	PUNCT	punct	起來	起來	VERB	1
的	的	PART	mark:relcl	起來	起來	VERB	1
毛	毛	PROPN	nmod	巨像	巨像	NOUN	1
澤東	澤東	PROPN	nmod	巨像	巨像	NOUN	1
巨像	巨像	NOUN	obj	製作	製作	VERB	1
,	,	PUNCT	punct	獻給	獻給	VERB	3
與	與	ADP	case	光宇	光宇	PROPN	1
張	張	PROPN	nmod	光宇	光宇	PROPN	1
光宇	光宇	PROPN	obl	繪製	繪製	VERB	1
、	、	PUNCT	punct	正宇	正宇	PROPN	1
張	張	PROPN	nmod	正宇	正宇	PROPN	1
正宇	正宇	PROPN	conj	光宇	光宇	PROPN	1
、	、	PUNCT	punct	太陽	太陽	PROPN	1
陽	陽	PROPN	nmod	太陽	太陽	PROPN	1
太陽	太陽	PROPN	conj	光宇	光宇	PROPN	1
、	、	PUNCT	punct	琦	琦	PROPN	1
王	王	PROPN	nmod	琦	琦	PROPN	1
琦	琦	PROPN	conj	光宇	光宇	PROPN	1
、	、	PUNCT	punct	山月	山月	PROPN	1
關	關	PROPN	nmod	山月	山月	PROPN	1
山月	山月	PROPN	conj	光宇	光宇	PROPN	1
、	、	PUNCT	punct	冰兄	冰兄	PROPN	1
冰兄	冰兄	PROPN	conj	光宇	光宇	PROPN	1
、	、	PUNCT	punct	秋人	秋人	PROPN	1
楊	楊	PROPN	nmod	秋人	秋人	PROPN	1
秋人	秋人	PROPN	conj	光宇	光宇	PROPN	1
等	等	NOUN	acl	光宇	光宇	PROPN	1
30多	30多	NUM	nummod	位	位	NOUN	1
位	位	NOUN	clf	畫家	畫家	NOUN	1
畫家	畫家	NOUN	appos	光宇	光宇	PROPN	1
集體	集體	NOUN	advmod	繪製	繪製	VERB	1
繪製	繪製	VERB	acl	獻給	獻給	VERB	1
獻給	獻給	VERB	root	ROOT	ROOT	ROOT	2
毛	毛	PROPN	nmod	澤東	澤東	PROPN	4
澤東	澤東	PROPN	nsubj	建立	建立	VERB	1
建立	建立	VERB	acl:relcl	政權	政權	NOUN	1
新	新	PART	case:pref	政權	政權	NOUN	1
政權	政權	NOUN	obj	獻給	獻給	VERB	1
.	.	PUNCT	punct	獻給	獻給	VERB	2
在	在	ADP	case	成功	成功	ADJ	1
此次	此次	NOUN	nmod	演出	演出	NOUN	1
演出	演出	NOUN	nsubj	成功	成功	ADJ	1
成功	成功	ADJ	ccomp	包括	包括	VERB	1
後	後	ADP	mark	成功	成功	ADJ	1
寶麗金	寶麗金	PROPN	nmod	公司	公司	NOUN	1
公司	公司	NOUN	det	歌手	歌手	NOUN	1
(	(	PUNCT	punct	唱片	唱片	NOUN	1
環球	環球	PROPN	nmod	唱片	唱片	NOUN	1
唱片	唱片	NOUN	appos	公司	公司	NOUN	1
)	)	PUNCT	punct	唱片	唱片	NOUN	1
一些	一些	ADJ	amod	歌手	歌手	NOUN	1
其他	其他	DET	det	歌手	歌手	NOUN	1
歌手	歌手	NOUN	nsubj	包括	包括	VERB	1
亦	亦	ADV	mark	推出	推出	VERB	1
同	同	ADP	case	樂團	樂團	NOUN	1
香港	香港	PROPN	nmod	樂團	樂團	NOUN	2
管弦	管弦	NOUN	nmod	樂團	樂團	NOUN	2
樂團	樂團	NOUN	obl	推出	推出	VERB	1
合作	合作	VERB	acl	推出	推出	VERB	1
推出	推出	VERB	acl	包括	包括	VERB	1
流行	流行	ADJ	amod	音樂	音樂	NOUN	1
音樂	音樂	NOUN	nsubj	結合	結合	VERB	1
與	與	CCONJ	cc	音樂	音樂	NOUN	1
古典	古典	ADJ	amod	音樂	音樂	NOUN	1
音樂	音樂	NOUN	conj	音樂	音樂	NOUN	1
相互	相互	ADV	advmod	結合	結合	VERB	1
結合	結合	VERB	acl:relcl	演出	演出	NOUN	1
的	的	PART	mark:relcl	結合	結合	VERB	2
演出	演出	NOUN	obj	推出	推出	VERB	1
陳	陳	PROPN	nmod	慧嫻	慧嫻	PROPN	1
慧嫻	慧嫻	PROPN	obj	包括	包括	VERB	1
(	(	PUNCT	punct	場	場	NOUN	4
場	場	NOUN	dep	慧嫻	慧嫻	PROPN	4
)	)	PUNCT	punct	場	場	NOUN	4
,	,	PUNCT	punct	克勤	克勤	PROPN	1
李	李	PROPN	nmod	克勤	克勤	PROPN	1
克勤	克勤	PROPN	conj	慧嫻	慧嫻	PROPN	1
四	四	NUM	nummod	場	場	NOUN	2
,	,	PUNCT	punct	倩文	倩文	PROPN	1
葉	葉	PROPN	nmod	倩文	倩文	PROPN	1
倩文	倩文	PROPN	conj	慧嫻	慧嫻	PROPN	1
,	,	PUNCT	punct	憶蓮	憶蓮	PROPN	1
林	林	PROPN	nmod	憶蓮	憶蓮	PROPN	1
憶蓮	憶蓮	PROPN	conj	慧嫻	慧嫻	PROPN	1
兩	兩	NUM	nummod	場	場	NOUN	3
他	他	PRON	nsubj	賺取	賺取	VERB	1
隻身	隻身	ADV	advmod	前往	前往	VERB	1
前往	前往	VERB	acl	賺取	賺取	VERB	1
首爾	首爾	PROPN	obj	前往	前往	VERB	1
,	,	PUNCT	punct	賺取	賺取	VERB	1
努力	努力	ADV	advmod	工作	工作	VERB	1
工作	工作	VERB	acl	賺取	賺取	VERB	1
賺取	賺取	VERB	root	ROOT	ROOT	ROOT	1
上	上	VERB	acl:relcl	學費	學費	NOUN	1
大學	大學	NOUN	obj	上	上	VERB	1
的	的	PART	mark:relcl	上	上	VERB	1
學費	學費	NOUN	obj	賺取	賺取	VERB	1
.	.	PUNCT	punct	賺取	賺取	VERB	1
《	《	PUNCT	punct	新曲	新曲	NOUN	1
感冒	感冒	VERB	nmod	新曲	新曲	NOUN	1
前後	前後	NOUN	mark	感冒	感冒	VERB	1
新曲	新曲	NOUN	nsubj	大碟	大碟	NOUN	1
+	+	SYM	punct	精選	精選	NOUN	1
精選	精選	NOUN	conj	新曲	新曲	NOUN	2
》	》	PUNCT	punct	新曲	新曲	NOUN	1
是	是	AUX	cop	大碟	大碟	NOUN	1
湯	湯	PROPN	nmod	寶如	寶如	PROPN	1
寶如	寶如	PROPN	det	大碟	大碟	NOUN	1
的	的	PART	case:dec	寶如	寶如	PROPN	1
第八	第八	NUM	nummod	張	張	NOUN	1
張	張	NOUN	clf	大碟	大碟	NOUN	2
大碟	大碟	NOUN	dep	推出	推出	VERB	1
,	,	PUNCT	punct	推出	推出	VERB	5
第二	第二	NUM	nummod	張	張	NOUN	2
新曲	新曲	NOUN	nmod	大碟	大碟	NOUN	1
加	加	CCONJ	cc	精選	精選	NOUN	1
大碟	大碟	NOUN	nsubj	推出	推出	VERB	1
年	年	NOUN	obl	推出	推出	VERB	2
推出	推出	VERB	root	ROOT	ROOT	ROOT	3
.	.	PUNCT	punct	推出	推出	VERB	3
志摩	志摩	PROPN	det	男友	男友	NOUN	1
的	的	PART	case:dec	志摩	志摩	PROPN	1
前	前	PART	case:pref	男友	男友	NOUN	1
男友	男友	NOUN	nsubj	展開	展開	VERB	1
為了	為了	ADP	case	追查	追查	VERB	1
追查	追查	VERB	xcomp	展開	展開	VERB	1
赤樹	赤樹	PROPN	det	死因	死因	NOUN	1
的	的	PART	case:dec	赤樹	赤樹	PROPN	1
死因	死因	NOUN	obj	追查	追查	VERB	1
以及	以及	CCONJ	cc	計畫	計畫	NOUN	1
內部	內部	NOUN	det	計畫	計畫	NOUN	1
的	的	PART	case:dec	內部	內部	NOUN	2
非法	非法	ADJ	amod	計畫	計畫	NOUN	1
計畫	計畫	NOUN	conj	死因	死因	NOUN	1
詐死	詐死	VERB	acl:relcl	方式	方式	NOUN	1
的	的	PART	mark:relcl	詐死	詐死	VERB	1
方式	方式	NOUN	obl	展開	展開	VERB	1
調查	調查	NOUN	obj	展開	展開	VERB	1
這些	這些	DET	det	變體	變體	NOUN	1
變體	變體	NOUN	nsubj:pass	認為	認為	VERB	1
帶	帶	VERB	xcomp	認為	認為	VERB	1
貶意	貶意	NOUN	nmod	色彩	色彩	NOUN	1
和	和	CCONJ	cc	戲謔	戲謔	NOUN	1
戲謔	戲謔	NOUN	conj	貶意	貶意	NOUN	1
色彩	色彩	NOUN	obj	帶	帶	VERB	1
邵氏	邵氏	PROPN	nmod	公司	公司	NOUN	1
電影	電影	NOUN	nmod	公司	公司	NOUN	2
公司	公司	NOUN	nsubj	出品	出品	VERB	1
年	年	NOUN	obl	出品	出品	VERB	1
出品	出品	VERB	acl:relcl	影片	影片	NOUN	1
的	的	PART	mark:relcl	出品	出品	VERB	1
影片	影片	NOUN	appos	青年	青年	NOUN	1
《	《	PUNCT	punct	青年	青年	NOUN	1
憤怒	憤怒	ADJ	amod	青年	青年	NOUN	2
青年	青年	NOUN	nsubj	記述	記述	VERB	1
》	》	PUNCT	punct	青年	青年	NOUN	1
,	,	PUNCT	punct	記述	記述	VERB	1
記述	記述	VERB	dep	證明	證明	VERB	1
一	一	NUM	nummod	班	班	NOUN	3
班	班	NOUN	clf	青年	青年	NOUN	1
不滿	不滿	VERB	acl	急於	急於	VERB	1
社會	社會	NOUN	nmod	現狀	現狀	NOUN	1
現狀	現狀	NOUN	obj	不滿	不滿	VERB	1
而	而	ADV	mark	急於	急於	VERB	1
急於	急於	VERB	acl:relcl	青年	青年	NOUN	1
改變	改變	VERB	xcomp	急於	急於	VERB	1
現實	現實	NOUN	obj	改變	改變	VERB	1
的	的	PART	mark:relcl	急於	急於	VERB	1
青年	青年	NOUN	obj	記述	記述	VERB	1
,	,	PUNCT	punct	證明	證明	VERB	2
當時	當時	NOUN	nmod:tmod	存在	存在	VERB	1
已	已	ADV	advmod	存在	存在	VERB	2
存在	存在	VERB	xcomp	證明	證明	VERB	1
「	「	PUNCT	punct	青年	青年	NOUN	1
青年	青年	NOUN	obj	存在	存在	VERB	1
」	」	PUNCT	punct	青年	青年	NOUN	1
這	這	DET	det	稱呼	稱呼	NOUN	1
稱呼	稱呼	NOUN	appos	青年	青年	NOUN	1
有	有	VERB	acl	生存	生存	VERB	1
這	這	DET	det	東西	東西	NOUN	1
兩	兩	NUM	nummod	東西	東西	NOUN	1
東西	東西	NOUN	obj	有	有	VERB	1
,	,	PUNCT	punct	生存	生存	VERB	2
人類	人類	NOUN	nsubj	生存	生存	VERB	1
生存	生存	VERB	root	ROOT	ROOT	ROOT	2
了	了	X	discourse	生存	生存	VERB	1
.	.	PUNCT	punct	生存	生存	VERB	2
現時	現時	NOUN	nmod:tmod	出現	出現	VERB	1
全球	全球	NOUN	det	組織	組織	NOUN	1
的	的	PART	case:dec	全球	全球	NOUN	2
慈善	慈善	ADJ	amod	組織	組織	NOUN	1
組織	組織	NOUN	det	方式	方式	NOUN	1
籌款	籌款	NOUN	nmod	方式	方式	NOUN	1
方式	方式	NOUN	nsubj	出現	出現	VERB	1
種	種	NOUN	clf	運動	運動	NOUN	1
有效	有效	ADJ	amod	運動	運動	NOUN	1
「	「	PUNCT	punct	運動	運動	NOUN	2
月	月	NOUN	nmod:tmod	捐	捐	VERB	1
捐	捐	VERB	amod	運動	運動	NOUN	1
運動	運動	NOUN	obj	出現	出現	VERB	1
」	」	PUNCT	punct	運動	運動	NOUN	2
(	(	PUNCT	punct	DDC	DDC	X	1
DDC	DDC	X	appos	運動	運動	NOUN	1
-	-	PUNCT	punct	DDC	DDC	X	1
Direct	Direct	X	flat:foreign	DDC	DDC	X	1
Dialogue	Dialogue	X	flat:foreign	Direct	Direct	X	1
Campaign	Campaign	X	flat:foreign	Direct	Direct	X	1
)	)	PUNCT	punct	DDC	DDC	X	1
該	該	DET	det	項目	項目	NOUN	2
項目	項目	NOUN	nsubj	由	由	VERB	1
由	由	VERB	dep	由	由	ADP	1
故宮	故宮	PROPN	nmod	院	院	PART	2
博物	博物	NOUN	case:suff	院	院	PART	2
院	院	PART	nsubj	選擇	選擇	VERB	1
選擇	選擇	VERB	ccomp	由	由	VERB	1
企業	企業	NOUN	obj	選擇	選擇	VERB	1
及	及	CCONJ	cc	人	人	PART	3
非	非	PART	case:pref	物質	物質	NOUN	1
物質	物質	NOUN	nmod	人	人	PART	1
文化	文化	NOUN	nmod	人	人	PART	1
遺產	遺產	NOUN	nmod	人	人	PART	1
傳承	傳承	VERB	case:suff	人	人	PART	1
人	人	PART	conj	企業	企業	NOUN	1
,	,	PUNCT	punct	由	由	ADP	11
採取	採取	VERB	advcl	由	由	ADP	1
技術	技術	NOUN	nmod	服務	服務	NOUN	1
服務	服務	NOUN	det	方式	方式	NOUN	1
的	的	PART	case:dec	服務	服務	NOUN	1
方式	方式	NOUN	obj	採取	採取	VERB	1
由	由	ADP	root	ROOT	ROOT	ROOT	9
企業	企業	NOUN	nsubj	派	派	VERB	1
派	派	VERB	ccomp	由	由	ADP	1
文物	文物	NOUN	nmod	技師	技師	NOUN	1
修復	修復	NOUN	nmod	技師	技師	NOUN	1
專業	專業	ADJ	amod	技師	技師	NOUN	1
技師	技師	NOUN	nsubj	開展	開展	VERB	1
進駐	進駐	VERB	acl	開展	開展	VERB	1
院	院	PART	obj	進駐	進駐	VERB	1
開展	開展	VERB	ccomp	派	派	VERB	1
修復	修復	NOUN	nmod	工作	工作	NOUN	1
工作	工作	NOUN	obj	開展	開展	VERB	1
.	.	PUNCT	punct	由	由	ADP	9
雷	雷	PROPN	nmod	鳴道	鳴道	PROPN	1
鳴道	鳴道	PROPN	nsubj	開始	開始	VERB	1
於	於	ADP	case	同年	同年	NOUN	2
同年	同年	NOUN	obl	開始	開始	VERB	1
乘船	乘船	VERB	acl	出到	出到	VERB	1
從	從	ADP	case	義大利	義大利	PROPN	1
義大利	義大利	PROPN	obl	出到	出到	VERB	1
出到	出到	VERB	acl	開始	開始	VERB	1
澳門	澳門	PROPN	obj	出到	出到	VERB	1
慈幼	慈幼	PROPN	case:suff	會	會	PART	1
會	會	PART	nmod	事業	事業	NOUN	1
在	在	VERB	acl:relcl	事業	事業	NOUN	1
中國	中國	PROPN	obj	在	在	VERB	1
事業	事業	NOUN	obj	開始	開始	VERB	1
慈湖	慈湖	PROPN	nmod	陵寢	陵寢	NOUN	1
陵寢	陵寢	NOUN	nsubj	陵園	陵園	NOUN	1
,	,	PUNCT	punct	陵寢	陵寢	NOUN	1
正式	正式	ADJ	amod	名稱	名稱	NOUN	1
名稱	名稱	NOUN	appos	陵寢	陵寢	NOUN	1
為	為	AUX	cop	陵寢	陵寢	NOUN	1
「	「	PUNCT	punct	陵寢	陵寢	NOUN	1
先	先	PART	case:pref	總統	總統	NOUN	2
總統	總統	NOUN	appos	蔣公	蔣公	PROPN	1
蔣公	蔣公	PROPN	nmod	陵寢	陵寢	NOUN	1
陵寢	陵寢	NOUN	acl	陵園	陵園	NOUN	1
」	」	PUNCT	punct	陵寢	陵寢	NOUN	1
,	,	PUNCT	punct	陵園	陵園	NOUN	2
位	位	VERB	acl	陵園	陵園	NOUN	1
台灣	台灣	PROPN	nmod	里	里	PART	1
桃園	桃園	PROPN	case:suff	縣	縣	PART	2
縣	縣	PART	nmod	里	里	PART	1
大溪	大溪	PROPN	case:suff	鎮	鎮	PART	1
鎮	鎮	PART	nmod	里	里	PART	1
福安	福安	PROPN	case:suff	里	里	PART	1
里	里	PART	obj	位	位	VERB	2
是	是	AUX	cop	陵園	陵園	NOUN	1
中華	中華	PROPN	nmod	中正	中正	PROPN	1
民國	民國	NOUN	nmod	中正	中正	PROPN	1
總統	總統	NOUN	appos	中正	中正	PROPN	1
蔣	蔣	PROPN	nmod	中正	中正	PROPN	1
中正	中正	PROPN	det	陵園	陵園	NOUN	1
先生	先生	NOUN	appos	中正	中正	PROPN	1
的	的	PART	case:dec	中正	中正	PROPN	1
陵園	陵園	NOUN	root	ROOT	ROOT	ROOT	1
.	.	PUNCT	punct	陵園	陵園	NOUN	1
1951	1951	NUM	nummod	年	年	NOUN	5
月	月	NOUN	nmod:tmod	結婚	結婚	VERB	1
,	,	PUNCT	punct	結婚	結婚	VERB	3
24	24	NUM	nummod	歲	歲	NOUN	1
歲	歲	NOUN	det	雪梅	雪梅	PROPN	1
邱	邱	PROPN	nmod	雪梅	雪梅	PROPN	1
雪梅	雪梅	PROPN	nsubj	結婚	結婚	VERB	1
與	與	CCONJ	cc	華石	華石	PROPN	1
歲	歲	NOUN	det	華石	華石	PROPN	1
關	關	PROPN	nmod	華石	華石	PROPN	1
華石	華石	PROPN	conj	雪梅	雪梅	PROPN	1
慕容	慕容	PROPN	nmod	三藏	三藏	PROPN	1
三藏	三藏	PROPN	nsubj	頗有	頗有	VERB	1
幼	幼	NOUN	nmod	聰敏	聰敏	ADJ	1
聰敏	聰敏	ADJ	acl	頗有	頗有	VERB	1
,	,	PUNCT	punct	頗有	頗有	VERB	2
多	多	NUM	acl	頗有	頗有	VERB	1
武略	武略	NOUN	obj	多	多	NUM	1
頗有	頗有	VERB	root	ROOT	ROOT	ROOT	1
父風	父風	NOUN	obj	頗有	頗有	VERB	1
.	.	PUNCT	punct	頗有	頗有	VERB	1
年	年	NOUN	nmod:tmod	開幕	開幕	VERB	1
,	,	PUNCT	punct	開幕	開幕	VERB	1
第18	第18	NUM	nummod	屆	屆	NOUN	1
屆	屆	NOUN	nmod	賽	賽	PART	3
世界	世界	PROPN	case:suff	盃	盃	PART	1
盃	盃	PART	nmod	賽	賽	PART	3
足球	足球	NOUN	case:suff	賽	賽	PART	2
賽	賽	PART	nsubj	開幕	開幕	VERB	1
在	在	VERB	acl	開幕	開幕	VERB	1
慕尼黑	慕尼黑	PROPN	det	場	場	PART	1
的	的	PART	case:dec	慕尼黑	慕尼黑	PROPN	2
專業	專業	ADJ	amod	場	場	PART	1
足球	足球	NOUN	case:suff	場	場	PART	1
場	場	PART	appos	球場	球場	NOUN	1
安聯	安聯	PROPN	nmod	球場	球場	NOUN	1
球場	球場	NOUN	obj	在	在	VERB	2
開幕	開幕	VERB	root	ROOT	ROOT	ROOT	1
.	.	PUNCT	punct	開幕	開幕	VERB	1
慕尼黑	慕尼黑	PROPN	det	廣場	廣場	NOUN	1
中心	中心	NOUN	nmod	廣場	廣場	NOUN	1
廣場	廣場	NOUN	appos	廣場	廣場	NOUN	1
----	----	PUNCT	punct	廣場	廣場	NOUN	1
瑪利亞	瑪利亞	PROPN	nmod	廣場	廣場	NOUN	1
廣場	廣場	NOUN	nsubj	得名	得名	VERB	1
是	是	AUX	cop	廣場	廣場	NOUN	1
個	個	NOUN	clf	廣場	廣場	NOUN	1
大型	大型	NOUN	det	廣場	廣場	NOUN	1
的	的	PART	case:dec	大型	大型	NOUN	2
開放	開放	VERB	case:suff	式	式	PART	1
式	式	PART	amod	廣場	廣場	NOUN	1
廣場	廣場	NOUN	acl	得名	得名	VERB	1
於	於	VERB	mark	得名	得名	VERB	1
廣場	廣場	NOUN	nmod	中心	中心	NOUN	1
中心	中心	NOUN	det	圓柱	圓柱	NOUN	1
瑪利亞	瑪利亞	PROPN	nmod	圓柱	圓柱	NOUN	1
圓柱	圓柱	NOUN	obj	得名	得名	VERB	1
聖神	聖神	PROPN	nmod	教堂	教堂	NOUN	1
教堂	教堂	NOUN	nsubj	俯瞰	俯瞰	VERB	1
也	也	ADV	mark	位	位	VERB	1
位	位	VERB	acl	俯瞰	俯瞰	VERB	1
聖	聖	PROPN	nmod	附近	附近	NOUN	1
伯多祿	伯多祿	PROPN	nmod	附近	附近	NOUN	1
教堂	教堂	NOUN	nmod	附近	附近	NOUN	1
附近	附近	NOUN	obj	位	位	VERB	2
,	,	PUNCT	punct	俯瞰	俯瞰	VERB	2
1724	1724	NUM	nummod	年	年	NOUN	1
年	年	NOUN	obl	改變	改變	VERB	1
從	從	ADP	case	式	式	PART	1
哥特	哥特	PROPN	case:suff	式	式	PART	1
式	式	PART	obl	改變	改變	VERB	1
改變	改變	VERB	acl	俯瞰	俯瞰	VERB	1
為	為	VERB	mark	改變	改變	VERB	1
巴洛克	巴洛克	PROPN	case:suff	式	式	PART	1
式	式	PART	nmod	教堂	教堂	NOUN	1
教堂	教堂	NOUN	obj	改變	改變	VERB	1
俯瞰	俯瞰	VERB	root	ROOT	ROOT	ROOT	1
著	著	PART	case:aspect	俯瞰	俯瞰	VERB	1
慕尼黑	慕尼黑	PROPN	advmod	最受	最受	VERB	1
最受	最受	VERB	acl:relcl	市場	市場	NOUN	1
歡迎	歡迎	VERB	xcomp	最受	最受	VERB	1
的	的	PART	mark:relcl	最受	最受	VERB	1
穀物	穀物	NOUN	nmod	市場	市場	NOUN	1
市場	市場	NOUN	obj	俯瞰	俯瞰	VERB	1
.	.	PUNCT	punct	俯瞰	俯瞰	VERB	1
雖然	雖然	ADP	case	毀	毀	VERB	1
世紀	世紀	NOUN	nmod	城堡	城堡	NOUN	1
城堡	城堡	NOUN	nsubj:pass	毀	毀	VERB	1
已經	已經	ADV	advmod	毀	毀	VERB	1
被	被	VERB	aux:pass	毀	毀	VERB	3
毀	毀	VERB	ccomp	倖存	倖存	VERB	1
,	,	PUNCT	punct	倖存	倖存	VERB	1
但是	但是	ADV	mark	倖存	倖存	VERB	1
其	其	PRON	nmod	城門	城門	NOUN	1
三	三	NUM	nummod	座	座	NOUN	3
座	座	NOUN	clf	城門	城門	NOUN	2
城門	城門	NOUN	nsubj	倖存	倖存	VERB	1
倖存	倖存	VERB	dep	門	門	PART	1
了	了	PART	case:aspect	倖存	倖存	VERB	1
下來	下來	VERB	mark	倖存	倖存	VERB	1
:	:	PUNCT	punct	門	門	PART	1
東面	東面	NOUN	det	門	門	PART	1
的	的	PART	case:dec	東面	東面	NOUN	1
伊薩爾	伊薩爾	PROPN	case:suff	門	門	PART	1
門	門	PART	root	ROOT	ROOT	ROOT	1
(	(	PUNCT	punct	Isartor	Isartor	X	1
Isartor	Isartor	X	appos	門	門	PART	1
)	)	PUNCT	punct	Isartor	Isartor	X	1
、	、	PUNCT	punct	門	門	PART	1
南面	南面	NOUN	det	門	門	PART	1
的	的	PART	case:dec	南面	南面	NOUN	2
森德靈	森德靈	PROPN	case:suff	門	門	PART	1
門	門	PART	conj	門	門	PART	2
(	(	PUNCT	punct	Sendlinger	Sendlinger	X	1
Sendlinger	Sendlinger	X	appos	門	門	PART	1
Tor	Tor	X	flat:foreign	Sendlinger	Sendlinger	X	1
)	)	PUNCT	punct	Sendlinger	Sendlinger	X	1
西面	西面	NOUN	det	門	門	PART	1
的	的	PART	case:dec	西面	西面	NOUN	1
卡爾	卡爾	PROPN	case:suff	門	門	PART	1
(	(	PUNCT	punct	Karlstor	Karlstor	X	1
Karlstor	Karlstor	X	appos	門	門	PART	1
)	)	PUNCT	punct	Karlstor	Karlstor	X	1
.	.	PUNCT	punct	門	門	PART	1
種	種	NOUN	clf	細胞	細胞	NOUN	1
獲得	獲得	VERB	case:suff	性	性	PART	1
性	性	PART	nmod	細胞	細胞	NOUN	4
骨髓	骨髓	NOUN	nmod	細胞	細胞	NOUN	1
造血	造血	NOUN	nmod	細胞	細胞	NOUN	1
幹	幹	NOUN	nmod	細胞	細胞	NOUN	1
細胞	細胞	NOUN	nsubj	伴生	伴生	VERB	1
,	,	PUNCT	punct	細胞	細胞	NOUN	2
即	即	AUX	cop	細胞	細胞	NOUN	1
成熟	成熟	ADJ	amod	細胞	細胞	NOUN	1
的	的	PART	mark:relcl	成熟	成熟	ADJ	1
粒	粒	NOUN	nmod	細胞	細胞	NOUN	4
細胞	細胞	NOUN	acl	伴生	伴生	VERB	1
(	(	PUNCT	punct	細胞	細胞	NOUN	1
中性	中性	NOUN	nmod	細胞	細胞	NOUN	1
細胞	細胞	NOUN	appos	細胞	細胞	NOUN	1
、	、	PUNCT	punct	細胞	細胞	NOUN	1
嗜酸	嗜酸	VERB	case:suff	性	性	PART	1
細胞	細胞	NOUN	conj	細胞	細胞	NOUN	2
和	和	CCONJ	cc	細胞	細胞	NOUN	1
嗜鹼	嗜鹼	VERB	case:suff	性	性	PART	1
)	)	PUNCT	punct	細胞	細胞	NOUN	1
進行	進行	VERB	acl	伴生	伴生	VERB	1
惡性	惡性	NOUN	nmod	衍生	衍生	NOUN	1
克隆	克隆	NOUN	nmod	衍生	衍生	NOUN	1
衍生	衍生	NOUN	obj	進行	進行	VERB	1
,	,	PUNCT	punct	伴生	伴生	VERB	1
通常	通常	ADV	advmod	伴生	伴生	VERB	1
並	並	ADV	mark	伴生	伴生	VERB	1
伴生	伴生	VERB	root	ROOT	ROOT	ROOT	1
種	種	NOUN	clf	疾病	疾病	NOUN	2
骨髓	骨髓	NOUN	nmod	疾病	疾病	NOUN	1
增生	增生	VERB	case:suff	性	性	PART	1
性	性	PART	nmod	疾病	疾病	NOUN	3
疾病	疾病	NOUN	obj	伴生	伴生	VERB	1
.	.	PUNCT	punct	伴生	伴生	VERB	1
日	日	NOUN	nmod:tmod	進行	進行	VERB	1
金融	金融	NOUN	nmod	基金	基金	NOUN	1
重建	重建	NOUN	nmod	基金	基金	NOUN	1
基金	基金	NOUN	nsubj	進行	進行	VERB	1
進行	進行	VERB	dep	宣告	宣告	VERB	1
慶豐	慶豐	PROPN	nmod	標售	標售	NOUN	1
銀行	銀行	NOUN	nmod	標售	標售	NOUN	1
次	次	NOUN	clf	標售	標售	NOUN	1
公開	公開	ADJ	amod	標售	標售	NOUN	1
標售	標售	NOUN	obj	進行	進行	VERB	1
Good	Good	X	nsubj	宣告	宣告	VERB	1
Bank	Bank	X	flat:foreign	Good	Good	X	1
部分	部分	NOUN	appos	Good	Good	X	1
因	因	ADP	case	無	無	VERB	1
無	無	VERB	xcomp	宣告	宣告	VERB	1
人	人	NOUN	nsubj	投標	投標	VERB	1
投標	投標	VERB	ccomp	無	無	VERB	1
最後	最後	NOUN	nmod:tmod	宣告	宣告	VERB	1
流標	流標	VERB	xcomp	宣告	宣告	VERB	1
慶豐	慶豐	PROPN	nmod	前身	前身	NOUN	1
銀行	銀行	NOUN	nmod	前身	前身	NOUN	1
前身	前身	NOUN	nsubj	為	為	VERB	1
為	為	VERB	dep	交	交	VERB	1
由	由	ADP	acl:relcl	公司	公司	NOUN	1
國泰	國泰	PROPN	nmod	人	人	PART	1
集團	集團	NOUN	nmod	人	人	PART	1
創始	創始	VERB	case:suff	人	人	PART	2
人	人	PART	appos	萬春	萬春	PROPN	1
蔡	蔡	PROPN	nmod	萬春	萬春	PROPN	2
萬春	萬春	PROPN	obl	發起	發起	VERB	1
發起	發起	VERB	ccomp	由	由	ADP	1
成立	成立	VERB	xcomp	發起	發起	VERB	1
的	的	PART	mark:relcl	由	由	ADP	3
「	「	PUNCT	punct	公司	公司	NOUN	2
國泰	國泰	PROPN	nmod	公司	公司	NOUN	1
信託	信託	NOUN	nmod	公司	公司	NOUN	1
投資	投資	NOUN	nmod	公司	公司	NOUN	1
公司	公司	NOUN	nsubj	簡稱	簡稱	VERB	1
